"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.137905257E0,5.193160381E-3,7.922898233E-2,5.326318089E-3
1.147882392E0,4.127896391E-3,8.135951310E-2,9.587372653E-3
1.157850413E0,6.258423906E-3,7.922898233E-2,2.024000883E-2
1.167820934E0,6.258423906E-3,7.603318989E-2,2.769685537E-2
1.177789215E0,9.321057005E-4,7.603318989E-2,1.597895473E-2
1.187739736E0,-3.102580272E-2,7.283740491E-2,-1.917474531E-2
1.197706194E0,-2.676474862E-2,6.751108170E-2,-8.522109129E-3
1.207686038E0,1.371526904E-2,6.964161247E-2,-5.432844535E-2
1.217653850E0,-6.831002980E-2,5.259739235E-2,-5.858949944E-2
1.227620152E0,2.330264263E-2,6.857634336E-2,-8.628635854E-2
1.237587809E0,-3.422159329E-2,6.431528926E-2,-9.267793596E-2
1.247545361E0,-4.394212738E-3,6.857634336E-2,-1.129179448E-1
1.257512027E0,9.321057005E-4,6.644582003E-2,-1.267663687E-1
1.267490725E0,-5.459476262E-3,5.792371184E-2,-1.438105851E-1
1.277458538E0,-1.185105834E-2,5.153212696E-2,-1.640505940E-1
1.287428902E0,-2.263685223E-3,4.940159991E-2,-1.747032404E-1
1.297397027E0,-5.459476262E-3,4.620581120E-2,-1.896169335E-1
1.307343173E0,-2.463422157E-2,4.407528415E-2,-1.874863952E-1
1.317309007E0,3.182475269E-2,5.472791940E-2,-1.704421788E-1
1.327290361E0,1.478053257E-2,5.259739235E-2,-1.619200706E-1
1.337257757E0,-1.291632187E-2,4.940159991E-2,-1.565937549E-1
1.347224684E0,-1.198421582E-3,5.472791940E-2,-1.533979625E-1
1.357192027E0,-7.590003312E-3,5.472791940E-2,-1.555284858E-1
1.367154423E0,-2.143843099E-2,5.259739235E-2,-1.597895473E-1
1.377121246E0,1.797632314E-2,5.898897350E-2,-1.565937549E-1
1.387100777E0,-1.824264042E-2,5.259739235E-2,-1.523326933E-1
1.397068902E0,-2.037316747E-2,5.046686530E-2,-1.555284858E-1
1.407038330E0,-5.459476262E-3,5.898897350E-2,-1.512674391E-1
