"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.716013798E0,-1.152443171E0,5.706583023E0,7.317550659E0
1.725977392E0,-2.634497643E0,5.615356445E0,9.199505806E0
1.735944527E0,-2.850150824E0,6.223731518E0,5.694319725E0
1.745929215E0,-1.818246126E0,6.675975323E0,5.964708805E0
1.755898121E0,-1.430309772E0,5.309075356E0,8.500203133E0
1.765847184E0,-1.528415442E0,5.783153057E0,9.134600639E0
1.775814059E0,-1.660020709E0,6.661618233E0,5.979065418E0
1.785814944E0,-2.055135489E0,6.379265308E0,7.305586815E0
1.795785257E0,-1.413560033E0,5.634499073E0,6.764509678E0
1.805733277E0,-1.181157112E0,6.324230194E0,6.388537407E0
1.815701350E0,-1.059123158E0,7.375277519E0,4.863411903E0
1.825644423E0,-3.337987661E-1,7.638488293E0,7.679165840E0
1.835609944E0,5.401797295E-1,6.659225464E0,8.414061546E0
1.845603850E0,9.209375978E-1,5.313860893E0,8.624629974E0
1.855572236E0,4.109672904E-1,4.561916351E0,9.879366875E0
1.865521871E0,-1.325025558E-1,6.106184483E0,6.649653912E0
1.875488382E0,5.653043464E-2,6.791129589E0,3.197110176E0
1.885475257E0,1.106680464E-2,5.974578857E0,8.778069496E0
1.895443798E0,-1.591227055E-1,5.325825214E0,8.030911446E0
1.905397027E0,-4.342973232E-1,7.327421188E0,8.768498421E0
1.915364007E0,-1.870888233E0,7.130910397E0,5.708676815E0
1.925347340E0,-2.483749866E0,6.010471344E0,7.949554920E0
1.935315986E0,-1.593021631E0,4.430311203E0,8.234600067E0
1.945251663E0,-1.700698733E0,4.928317547E0,8.382954597E0
1.955216975E0,-1.830210209E0,5.790331841E0,7.650452137E0
1.965206090E0,-1.128515005E0,6.498906136E0,8.174779892E0
1.975173746E0,-8.940183520E-1,6.218945980E0,5.835496426E0
1.985150673E0,-1.533201098E0,4.435096741E0,1.262542915E1
1.995119319E0,-2.376072884E0,3.989732742E0,1.290568924E1
2.005067652E0,-1.897209287E0,7.432705402E0,4.365406036E0
2.015034215E0,-1.154836059E0,5.699404240E0,6.434000969E0
2.024983642E0,-1.214955688E0,3.647558928E0,1.547229004E1
2.034948486E0,-2.098206282E0,4.720141888E0,8.370990753E0
2.044937132E0,-8.988040090E-1,6.094220161E0,7.403692245E0
2.054904319E0,-4.007977843E-1,5.706583023E0,5.193920612E0
2.064877288E0,-9.083753228E-1,3.661916018E0,8.246563911E0
2.074845100E0,-1.329811215E0,4.497310162E0,1.478973770E1
2.084783642E0,-6.667001843E-1,8.874081612E0,2.447857618E0
2.094748434E0,3.978067636E-2,9.120542526E0,4.200301170E0
2.104763017E0,3.053839803E-1,5.878866196E0,9.771689415E0
2.114732861E0,3.990031779E-1,5.953043461E0,2.028814554E0
2.124697965E0,1.129113197E0,6.043971062E0,5.947958946E0
2.134667340E0,1.531406522E0,4.839782715E0,9.802796364E0
2.144605413E0,1.211366430E-1,6.223731518E0,4.205086708E0
2.154571559E0,-5.084748268E-1,5.780760288E0,3.592225075E0
2.164540621E0,-1.408774376E0,5.242076397E0,7.506583691E0
2.174507132E0,-6.329016089E-1,4.255635262E0,1.357119274E1
2.184462965E0,6.478567123E-1,6.233303070E0,1.829492378E1
2.194428382E0,1.392323732E0,9.601799011E0,4.755734921E0
2.204425621E0,2.347658157E0,6.120541096E0,7.310372353E0
2.214394267E0,5.234299302E-1,9.299107194E-1,2.301865387E1
2.224349788E0,-6.906284094E-1,4.985744953E0,6.429215431E0
2.234317080E0,-2.261217386E-1,7.593024254E0,-5.521438122E-1
