"Time (s)","w","x","y","z","Direct (°)","Yaw (°)","Pitch (°)","Roll (°)"
3.168963380E-1,1.403504008E-1,-1.288298611E-2,1.125894859E-2,-9.899540544E-1,1.638637541E2,-1.484953101E0,-1.280480062E0,-1.638447811E2
3.218807650E-1,1.403388069E-1,-1.292661671E-2,1.128529944E-2,-9.899548292E-1,1.638650960E2,-1.488632688E0,-1.285023013E0,-1.638460090E2
3.268652960E-1,1.403384398E-1,-1.295474824E-2,1.130464673E-2,-9.899542928E-1,1.638651385E2,-1.491281860E0,-1.287903536E0,-1.638459749E2
3.318497750E-1,1.403243342E-1,-1.294695027E-2,1.130599435E-2,-9.899563789E-1,1.638667710E2,-1.491290595E0,-1.287018406E0,-1.638476205E2
3.368329520E-1,1.402827356E-1,-1.291795913E-2,1.130738389E-2,-9.899626374E-1,1.638715855E2,-1.490926467E0,-1.283769636E0,-1.638524879E2
3.418171190E-1,1.402728087E-1,-1.287020370E-2,1.132321078E-2,-9.899644852E-1,1.638727344E2,-1.491939274E0,-1.278111967E0,-1.638537063E2
3.468013380E-1,1.402498842E-1,-1.282723714E-2,1.134844869E-2,-9.899680018E-1,1.638753876E2,-1.494080746E0,-1.272865777E0,-1.638564088E2
3.517855560E-1,1.402409097E-1,-1.276873797E-2,1.136932243E-2,-9.899697900E-1,1.638764262E2,-1.495494542E0,-1.265906645E0,-1.638575310E2
3.567978480E-1,1.402466386E-1,-1.271033566E-2,1.137447450E-2,-9.899696708E-1,1.638757632E2,-1.495144577E0,-1.259189292E0,-1.638569705E2
3.617879000E-1,1.402329790E-1,-1.264345367E-2,1.135803480E-2,-9.899726510E-1,1.638773441E2,-1.492182955E0,-1.251886600E0,-1.638586962E2
3.667779520E-1,1.402950881E-1,-1.256640349E-2,1.134150568E-2,-9.899650216E-1,1.638701558E2,-1.489142611E0,-1.243317712E0,-1.638516703E2
3.717680560E-1,1.402843486E-1,-1.248459239E-2,1.132536400E-2,-9.899677634E-1,1.638713988E2,-1.485977559E0,-1.234312186E0,-1.638530842E2
3.767093060E-1,1.402522495E-1,-1.241123397E-2,1.132421754E-2,-9.899732471E-1,1.638751138E2,-1.484624339E0,-1.226056244E0,-1.638569363E2
3.816890980E-1,1.402440575E-1,-1.232471969E-2,1.131694298E-2,-9.899755716E-1,1.638760619E2,-1.482393507E0,-1.216370463E0,-1.638580525E2
3.866689940E-1,1.402214807E-1,-1.223568339E-2,1.131268777E-2,-9.899799228E-1,1.638786748E2,-1.480447336E0,-1.206371449E0,-1.638608342E2
3.916488380E-1,1.402139775E-1,-1.214607712E-2,1.129881665E-2,-9.899822474E-1,1.638795432E2,-1.477419456E0,-1.196439865E0,-1.638618829E2
3.966507130E-1,1.401687501E-1,-1.205797028E-2,1.126493327E-2,-9.899901152E-1,1.638847776E2,-1.472099690E0,-1.187056347E0,-1.638673176E2
4.016316500E-1,1.401669756E-1,-1.196965575E-2,1.124498714E-2,-9.899916649E-1,1.638849830E2,-1.468410819E0,-1.177360275E0,-1.638677064E2
4.066126400E-1,1.402123983E-1,-1.188067254E-2,1.123484876E-2,-9.899864197E-1,1.638797260E2,-1.465879919E0,-1.167360732E0,-1.638626217E2
4.115935770E-1,1.402178444E-1,-1.180583145E-2,1.124052051E-2,-9.899864793E-1,1.638790957E2,-1.465323551E0,-1.158770621E0,-1.638621202E2
4.165879520E-1,1.402093978E-1,-1.173843350E-2,1.123273093E-2,-9.899885654E-1,1.638800733E2,-1.463343340E0,-1.151262035E0,-1.638632281E2
4.215695150E-1,1.402141030E-1,-1.167152263E-2,1.120165363E-2,-9.899890423E-1,1.638795287E2,-1.458743614E0,-1.144163863E0,-1.638628385E2
4.265511810E-1,1.403366380E-1,-1.159961801E-2,1.117466390E-2,-9.899728298E-1,1.638653470E2,-1.454662454E0,-1.136260317E0,-1.638488145E2
4.315327960E-1,1.403517417E-1,-1.153830066E-2,1.115404535E-2,-9.899716377E-1,1.638635989E2,-1.451350767E0,-1.129613717E0,-1.638471985E2
4.365237860E-1,1.404974936E-1,-1.150090992E-2,1.115106046E-2,-9.899514318E-1,1.638467299E2,-1.450574467E0,-1.125206301E0,-1.638303982E2
4.415058170E-1,1.405120400E-1,-1.145860460E-2,1.114360988E-2,-9.899499416E-1,1.638450463E2,-1.449062257E0,-1.120505700E0,-1.638287979E2
4.464879520E-1,1.406625438E-1,-1.142909564E-2,1.112839207E-2,-9.899290800E-1,1.638276268E2,-1.447028643E0,-1.117183356E0,-1.638114463E2
4.514700360E-1,1.406752810E-1,-1.141712256E-2,1.111221779E-2,-9.899275899E-1,1.638261526E2,-1.445014076E0,-1.116067487E0,-1.638100108E2
4.564584730E-1,1.408614137E-1,-1.140325330E-2,1.108358055E-2,-9.899016023E-1,1.638046088E2,-1.441749853E0,-1.114685209E0,-1.637885212E2
4.614408690E-1,1.408811531E-1,-1.140332595E-2,1.104549225E-2,-9.898992181E-1,1.638023240E2,-1.437451400E0,-1.115280265E0,-1.637862773E2
4.664233170E-1,1.410799022E-1,-1.140279137E-2,1.103055943E-2,-9.898710847E-1,1.637793193E2,-1.435972218E0,-1.115172696E0,-1.637632882E2
4.714057130E-1,1.410963470E-1,-1.141904667E-2,1.102270372E-2,-9.898686409E-1,1.637774158E2,-1.435363006E0,-1.117119949E0,-1.637613644E2
4.763976920E-1,1.413200344E-1,-1.143166516E-2,1.100765541E-2,-9.898367524E-1,1.637515237E2,-1.434112920E0,-1.118470908E0,-1.637354646E2
4.813805560E-1,1.413416408E-1,-1.144445129E-2,1.098492369E-2,-9.898337722E-1,1.637490227E2,-1.431765866E0,-1.120258554E0,-1.637329655E2
4.863634730E-1,1.415347428E-1,-1.148154587E-2,1.096804999E-2,-9.898059368E-1,1.637266701E2,-1.430673326E0,-1.124460846E0,-1.637105643E2
4.913463900E-1,1.415615532E-1,-1.150291041E-2,1.096005179E-2,-9.898019433E-1,1.637235666E2,-1.430143938E0,-1.126975354E0,-1.637074317E2
4.963384730E-1,1.417179877E-1,-1.155115757E-2,1.094389241E-2,-9.897791743E-1,1.637054580E2,-1.429274531E0,-1.132484575E0,-1.636892543E2
5.013218060E-1,1.417374033E-1,-1.160112116E-2,1.094148308E-2,-9.897758365E-1,1.637032104E2,-1.429837376E0,-1.138162923E0,-1.636869210E2
5.063051920E-1,1.419255399E-1,-1.164087001E-2,1.093534194E-2,-9.897484779E-1,1.636814314E2,-1.430005365E0,-1.142499590E0,-1.636650768E2
5.112885770E-1,1.419407663E-1,-1.167746726E-2,1.093066763E-2,-9.897459149E-1,1.636796687E2,-1.430089723E0,-1.146704692E0,-1.636632544E2
5.162744110E-1,1.421299251E-1,-1.171598397E-2,1.093028672E-2,-9.897183180E-1,1.636577707E2,-1.430894859E0,-1.150806168E0,-1.636412869E2
5.212578480E-1,1.421393571E-1,-1.175076514E-2,1.094299741E-2,-9.897164106E-1,1.636566788E2,-1.432916119E0,-1.154530158E0,-1.636401190E2
5.262413380E-1,1.421241175E-1,-1.178899594E-2,1.095425710E-2,-9.897180200E-1,1.636584431E2,-1.434800333E0,-1.158704789E0,-1.636418028E2
5.312248270E-1,1.421237860E-1,-1.181290392E-2,1.097586378E-2,-9.897175431E-1,1.636584814E2,-1.437641813E0,-1.161064637E0,-1.636417742E2
5.362115460E-1,1.420832085E-1,-1.183937490E-2,1.098359469E-2,-9.897229671E-1,1.636631789E2,-1.438903640E0,-1.163999925E0,-1.636464162E2
5.411951400E-1,1.420827422E-1,-1.186397672E-2,1.098993327E-2,-9.897226691E-1,1.636632329E2,-1.440024028E0,-1.166687650E0,-1.636464191E2
5.461788380E-1,1.420946457E-1,-1.188632287E-2,1.099975687E-2,-9.897205830E-1,1.636618549E2,-1.441517562E0,-1.169044715E0,-1.636449898E2
5.511624840E-1,1.420895526E-1,-1.189871039E-2,1.102531049E-2,-9.897208810E-1,1.636624445E2,-1.444612966E0,-1.170040591E0,-1.636455283E2
5.561475880E-1,1.420316132E-1,-1.191041805E-2,1.104756165E-2,-9.897288084E-1,1.636691519E2,-1.447260073E0,-1.171090487E0,-1.636521900E2
5.611312340E-1,1.420198353E-1,-1.189482026E-2,1.107157860E-2,-9.897304177E-1,1.636705154E2,-1.449716259E0,-1.168947269E0,-1.636535544E2
5.661149840E-1,1.419496273E-1,-1.188750844E-2,1.108463295E-2,-9.897404313E-1,1.636786430E2,-1.450995092E0,-1.168008176E0,-1.636616809E2
5.710986810E-1,1.419408799E-1,-1.187384967E-2,1.111013908E-2,-9.897415638E-1,1.636796556E2,-1.453655655E0,-1.166056437E0,-1.636626894E2
5.760884210E-1,1.418894724E-1,-1.185827237E-2,1.114618685E-2,-9.897487164E-1,1.636856067E2,-1.457430784E0,-1.163778306E0,-1.636686283E2
5.810723790E-1,1.418813193E-1,-1.183116436E-2,1.118872128E-2,-9.897497296E-1,1.636865505E2,-1.461804771E0,-1.160023274E0,-1.636695732E2
5.860563900E-1,1.419111236E-1,-1.179367863E-2,1.123511884E-2,-9.897453785E-1,1.636831003E2,-1.466492140E0,-1.154972123E0,-1.636661384E2
5.910404000E-1,1.418976370E-1,-1.177278720E-2,1.126979291E-2,-9.897471666E-1,1.636846615E2,-1.470069529E0,-1.152058067E0,-1.636676988E2
5.960240980E-1,1.418611515E-1,-1.175335515E-2,1.131483633E-2,-9.897521138E-1,1.636888852E2,-1.474820547E0,-1.149175119E0,-1.636719078E2
